state,medianHomePrice,medianHomePriceYearOnYearGrowth,
New York,819900,-1.8,
California,785900,-5.8,
Hawaii,720200,1.4,
District of Columbia,668250,2.8,
Washington,618000,-5.4,
Massachusetts,614700,1.8,
Colorado,580900,-4.1,
Utah,529600,-8,
Oregon,510900,-3.2,
New Jersey,477600,5,
Rhode Island,462100,7.5,
Idaho,460900,9.2,
New Hampshire,452700,4.4,
Virginia,440200,-0.2,
Arizona,436100,-6.2,
Nevada,428100,8.1,
Maryland,421800,0.8,
Florida,407200,-0.4,
Connecticut,393700,6.6,
Vermont,385300,5.3,
Alaska,379600,4.5,
Tennessee,377200,2.4,
Georgia,375300,0.9,
South Carolina,374200,2.1,
Maine,373700,6.1,
North Carolina,371100,2.9,
Texas,357800,4.4,
New Mexico,349200,0.6,
Minnesota,341700,-2.2,
Delaware,327300,1.3,
West Virginia,304400,4.2,
Wisconsin,297100,6,
Nebraska,290500,7.9,
Alabama,284900,1.3,
Illinois,280900,0,
Pennsylvania,278700,0,
Kansas,276300,2.1,
Wyoming,276000,-12.5,
Mississippi,271200,6.3,
Arkansas,258100,7.5,
Indiana,258000,3.9,
Louisiana,257400,-2.3,
Missouri,255400,3,
Oklahoma,253200,5.1,
Michigan,252200,1.6,
Kentucky,251300,3,
Ohio,240900,2.4,
Iowa,230600,3.3,
Montana,453567,-0.4,
South Dakota,295881,1.1,
North Dakota,254258,0.2,
